"Product Reference";"From Quantity";"Price";"Catalog Price Rule ID";"Reduction";"Reduction Type"
"Expando TCP-V0 5-0/111";"3";"150";"0";"0";"amount"
"Expando TCP-V0 5-0/111";"5";"111";"0";"0";"amount"
"Expando TCP-V0 5-0/111";"10";"99";"0";"0";"amount"
"Expando TCP-V0 5-0/111";"100";"88";"0";"0";"amount"
"Expando TCP-V0 5-0/111";"1000";"77";"0";"0";"amount"
"Expando TCP-V0 5-0/111";"1100";"66";"0";"0";"amount"
"";"";"";"";"";""
"";"";"";"";"";""
"";"";"";"";"";""
"";"";"";"";"";""
"";"";"";"";"";""
