"Combination ID";"Combination Reference";"Product ID";"Product Reference";"Product Name";"Attribute Type (x,y,z...)";"Attribute Name (x,y,z...)";"Attribute Public Name (x,y,z...)";"Value:Color / Value (x,y,z...)";"Supplier Reference";"Location";"EAN13";"UPC";"ISBN";"MPN";"Cost (Wholesale) Price";"Impact on Price";"Impact on Unit Price";"Ecotax";"Quantity";"Minimal Quantity";"Low Stock Level";"Low Stock Alert (0 = No, 1 = Yes)";"Impact on Weight";"Is Default (0 = No, 1 = Yes)";"Availability Date";"Image URLs (x,y,z...)";"Image Alt Texts (x,y,z...)";"Action When out of Stock";"Warehouses (Reference:Name:Location) (x,y,z...)"
"";"";"74";"";"";"color,radio,color,radio";"frame,Shape,size,Type";"frame,shape,size,Type";"none:#62ff43,vertical,10x15,canvas";"";"";"";"";"";"";"0";"0";"0";"0";"5";"1";"";"0";"0";"1";"0000-00-00";"";"";"2";""
"";"";"74";"";"";"color,radio,color,radio";"frame,Shape,size,Type";"frame,shape,size,Type";"natural-wood:#ffd083,vertical,10x15,canvas";"";"";"";"";"";"";"0";"0";"0";"0";"5";"1";"";"0";"0";"";"0000-00-00";"";"";"2";""
"";"";"74";"";"";"color,radio,color,radio";"frame,Shape,size,Type";"frame,shape,size,Type";"dark-wood:#ce6600,vertical,10x15,canvas";"";"";"";"";"";"";"0";"0";"0";"0";"5";"1";"";"0";"0";"";"0000-00-00";"";"";"2";""
"";"";"74";"";"";"color,radio,color,radio";"frame,Shape,size,Type";"frame,shape,size,Type";"charcol-black:#3b1200,vertical,10x15,canvas";"";"";"";"";"";"";"0";"0";"0";"0";"5";"1";"";"0";"0";"";"0000-00-00";"";"";"2";""
"";"";"74";"";"";"color,radio,color,radio";"frame,Shape,size,Type";"frame,shape,size,Type";"charcol-white:#e3fffe,vertical,10x15,canvas";"";"";"";"";"";"";"0";"0";"0";"0";"5";"1";"";"0";"0";"";"0000-00-00";"";"";"2";""
"";"";"74";"";"";"color,radio,color,radio";"frame,Shape,size,Type";"frame,shape,size,Type";"pine-wood:#a3afff,vertical,10x15,canvas";"";"";"";"";"";"";"0";"0";"0";"0";"5";"1";"";"0";"0";"";"0000-00-00";"";"";"2";""
"";"";"74";"";"";"color,radio,color,radio";"frame,Shape,size,Type";"frame,shape,size,Type";"none:#62ff43,vertical,12x18,canvas";"";"";"";"";"";"";"0";"0";"0";"0";"5";"1";"";"0";"0";"";"0000-00-00";"";"";"2";""
"";"";"74";"";"";"color,radio,color,radio";"frame,Shape,size,Type";"frame,shape,size,Type";"natural-wood:#ffd083,vertical,12x18,canvas";"";"";"";"";"";"";"0";"0";"0";"0";"5";"1";"";"0";"0";"";"0000-00-00";"";"";"2";""
"";"";"74";"";"";"color,radio,color,radio";"frame,Shape,size,Type";"frame,shape,size,Type";"dark-wood:#ce6600,vertical,12x18,canvas";"";"";"";"";"";"";"0";"0";"0";"0";"5";"1";"";"0";"0";"";"0000-00-00";"";"";"2";""
"";"";"74";"";"";"color,radio,color,radio";"frame,Shape,size,Type";"frame,shape,size,Type";"charcol-black:#3b1200,vertical,12x18,canvas";"";"";"";"";"";"";"0";"0";"0";"0";"5";"1";"";"0";"0";"";"0000-00-00";"";"";"2";""
"";"";"74";"";"";"color,radio,color,radio";"frame,Shape,size,Type";"frame,shape,size,Type";"charcol-white:#e3fffe,vertical,12x18,canvas";"";"";"";"";"";"";"0";"0";"0";"0";"5";"1";"";"0";"0";"";"0000-00-00";"";"";"2";""
"";"";"74";"";"";"color,radio,color,radio";"frame,Shape,size,Type";"frame,shape,size,Type";"pine-wood:#a3afff,vertical,12x18,canvas";"";"";"";"";"";"";"0";"0";"0";"0";"5";"1";"";"0";"0";"";"0000-00-00";"";"";"2";""
"";"";"74";"";"";"color,radio,color,radio";"frame,Shape,size,Type";"frame,shape,size,Type";"none:#62ff43,vertical,16x24,canvas";"";"";"";"";"";"";"0";"0";"0";"0";"5";"1";"";"0";"0";"";"0000-00-00";"";"";"2";""
"";"";"74";"";"";"color,radio,color,radio";"frame,Shape,size,Type";"frame,shape,size,Type";"natural-wood:#ffd083,vertical,16x24,canvas";"";"";"";"";"";"";"0";"0";"0";"0";"5";"1";"";"0";"0";"";"0000-00-00";"";"";"2";""
"";"";"74";"";"";"color,radio,color,radio";"frame,Shape,size,Type";"frame,shape,size,Type";"dark-wood:#ce6600,vertical,16x24,canvas";"";"";"";"";"";"";"0";"0";"0";"0";"5";"1";"";"0";"0";"";"0000-00-00";"";"";"2";""
"";"";"74";"";"";"color,radio,color,radio";"frame,Shape,size,Type";"frame,shape,size,Type";"charcol-black:#3b1200,vertical,16x24,canvas";"";"";"";"";"";"";"0";"0";"0";"0";"5";"1";"";"0";"0";"";"0000-00-00";"";"";"2";""
"";"";"74";"";"";"color,radio,color,radio";"frame,Shape,size,Type";"frame,shape,size,Type";"charcol-white:#e3fffe,vertical,16x24,canvas";"";"";"";"";"";"";"0";"0";"0";"0";"5";"1";"";"0";"0";"";"0000-00-00";"";"";"2";""
"";"";"74";"";"";"color,radio,color,radio";"frame,Shape,size,Type";"frame,shape,size,Type";"pine-wood:#a3afff,vertical,16x24,canvas";"";"";"";"";"";"";"0";"0";"0";"0";"5";"1";"";"0";"0";"";"0000-00-00";"";"";"2";""
"";"";"74";"";"";"color,radio,color,radio";"frame,Shape,size,Type";"frame,shape,size,Type";"none:#62ff43,vertical,20x30,canvas";"";"";"";"";"";"";"0";"0";"0";"0";"5";"1";"";"0";"0";"";"0000-00-00";"";"";"2";""
"";"";"74";"";"";"color,radio,color,radio";"frame,Shape,size,Type";"frame,shape,size,Type";"natural-wood:#ffd083,vertical,20x30,canvas";"";"";"";"";"";"";"0";"0";"0";"0";"5";"1";"";"0";"0";"";"0000-00-00";"";"";"2";""
"";"";"74";"";"";"color,radio,color,radio";"frame,Shape,size,Type";"frame,shape,size,Type";"dark-wood:#ce6600,vertical,20x30,canvas";"";"";"";"";"";"";"0";"0";"0";"0";"5";"1";"";"0";"0";"";"0000-00-00";"";"";"2";""
"";"";"74";"";"";"color,radio,color,radio";"frame,Shape,size,Type";"frame,shape,size,Type";"charcol-black:#3b1200,vertical,20x30,canvas";"";"";"";"";"";"";"0";"0";"0";"0";"5";"1";"";"0";"0";"";"0000-00-00";"";"";"2";""
"";"";"74";"";"";"color,radio,color,radio";"frame,Shape,size,Type";"frame,shape,size,Type";"charcol-white:#e3fffe,vertical,20x30,canvas";"";"";"";"";"";"";"0";"0";"0";"0";"5";"1";"";"0";"0";"";"0000-00-00";"";"";"2";""
"";"";"74";"";"";"color,radio,color,radio";"frame,Shape,size,Type";"frame,shape,size,Type";"pine-wood:#a3afff,vertical,20x30,canvas";"";"";"";"";"";"";"0";"0";"0";"0";"5";"1";"";"0";"0";"";"0000-00-00";"";"";"2";""
"";"";"74";"";"";"color,radio,color,radio";"frame,Shape,size,Type";"frame,shape,size,Type";"none:#62ff43,vertical,24x36,canvas";"";"";"";"";"";"";"0";"0";"0";"0";"5";"1";"";"0";"0";"";"0000-00-00";"";"";"2";""
"";"";"74";"";"";"color,radio,color,radio";"frame,Shape,size,Type";"frame,shape,size,Type";"natural-wood:#ffd083,vertical,24x36,canvas";"";"";"";"";"";"";"0";"0";"0";"0";"5";"1";"";"0";"0";"";"0000-00-00";"";"";"2";""
"";"";"74";"";"";"color,radio,color,radio";"frame,Shape,size,Type";"frame,shape,size,Type";"dark-wood:#ce6600,vertical,24x36,canvas";"";"";"";"";"";"";"0";"0";"0";"0";"5";"1";"";"0";"0";"";"0000-00-00";"";"";"2";""
"";"";"74";"";"";"color,radio,color,radio";"frame,Shape,size,Type";"frame,shape,size,Type";"charcol-black:#3b1200,vertical,24x36,canvas";"";"";"";"";"";"";"0";"0";"0";"0";"5";"1";"";"0";"0";"";"0000-00-00";"";"";"2";""
