"Attribute ID";"Attribute Name";"Attribute Public Name";"Attribute Group Type";"Attribute Position";"Attribute Value ID";"Attribute Value";"Attribute Value Color";"Attribute Value Position"
"5";"Shape";"shape";"radio";"";"";"horizontal";"";""
"5";"Shape";"shape";"radio";"";"";"square";"";""
"5";"Shape";"shape";"radio";"";"";"vertical";"";""
"6";"Type";"Type";"radio";"";"";"canvas";"";""
"6";"Type";"Type";"radio";"";"";"fine-art-paper";"";""
"7";"size";"size";"color";"";"";"15x10";"";""
"7";"size";"size";"color";"";"";"18x12";"";""
"7";"size";"size";"color";"";"";"24x16";"";""
"7";"size";"size";"color";"";"";"30x20";"";""
"7";"size";"size";"color";"";"";"36x24";"";""
"7";"size";"size";"color";"";"";"30x45";"";""
"7";"size";"size";"color";"";"";"11x11";"";""
"7";"size";"size";"color";"";"";"16x16";"";""
"7";"size";"size";"color";"";"";"20x20";"";""
"7";"size";"size";"color";"";"";"24x24";"";""
"7";"size";"size";"color";"";"";"30x30";"";""
"7";"size";"size";"color";"";"";"36x36";"";""
"7";"size";"size";"color";"";"";"10x15";"";""
"7";"size";"size";"color";"";"";"12x18";"";""
"7";"size";"size";"color";"";"";"16x24";"";""
"7";"size";"size";"color";"";"";"20x30";"";""
"7";"size";"size";"color";"";"";"24x36";"";""
"7";"size";"size";"color";"";"";"30x45";"";""
"8";"frame";"frame";"color";"";"";"none";"#62ff43";""
"8";"frame";"frame";"color";"";"";"natural-wood";"#ffd083";""
"8";"frame";"frame";"color";"";"";"dark-wood";"#ce6600";""
"8";"frame";"frame";"color";"";"";"charcol-black";"#3b1200";""
"8";"frame";"frame";"color";"";"";"charcol-white";"#e3fffe";""
"8";"frame";"frame";"color";"";"";"pine-wood";"#a3afff";""
