"Category ID";"Active (0 = No, 1 = Yes)";"Name";"Parent Category ID";"Parent Category Name";"Description";"Rewritten URL";"Meta Title";"Meta Keywords";"Meta Description";"Position";"Image URL";"Creation Date";"Group Names (x,y,z...)";"Group Reductions (x,y,z...)"
"3";"1";"New Arrival";"2";"home";"";"new-arrival";"New Arrival Paintings & Art Collection | Right Art Uk";"";"";"0";"";"11/17/2025 11:02";"Visitor,Customer,Guest";""
"4";"1";"Style";"2";"home";"";"style";"Paintings & Wall Art Style | Right Art Uk";"";"";"0";"";"11/17/2025 11:02";"Visitor,Customer,Guest";""
"5";"1";"Subjects";"2";"home";"";"subjects";"";"";"";"";"";"";"Visitor,Customer,Guest";""
"6";"1";"Artist paintings";"2";"home";"";"artist";"Artist paintings & Art Collection| Right Art Uk";"";"";"";"";"";"Visitor,Customer,Guest";""
"7";"0";"Type";"2";"home";"";"type";"";"";"";"";"";"";"Visitor,Customer,Guest";""
"8";"1";"Color";"2";"home";"";"color";"";"";"";"";"";"";"Visitor,Customer,Guest";""
"9";"1";"Rooms";"2";"home";"";"rooms";"";"";"";"";"";"";"Visitor,Customer,Guest";""
"10";"1";"Collection";"2";"home";"";"collection";"";"";"";"";"";"";"Visitor,Customer,Guest";""
"11";"1";"Abstract Art";"4";"Style";"Get lost in our Abstract Art Collection & Paintings, where color, movement and shape come together in bold, modern ways. Every piece is picked for its feeling and story – some are calm and minimal, others are full of energy and drama. This is the kind of art that doesn’t just sit on a wall; it shifts the mood and invites you to pause, look closer and notice something new each time.
 
 We carefully curate this abstract art collection so you can buy art online with confidence. Instead of scrolling through endless options, you’ll find a focused selection with strong composition, emotion and a fresh, contemporary vibe. Whether you love soft, dreamy shades or striking, high-contrast designs, you’ll discover abstract wall art that feels personal and true to your style.
 
 Made for both longtime art lovers and new collectors, this collection is all about that instant connection – when a piece just “clicks” with you. Take your time, explore the gallery and follow your instinct. Find and buy abstract wall art that feels like it was made for you and brings a little extra inspiration into your everyday life.";"abstract";"Abstract Art Collection & Paintings| Right Art Uk";"";"Shop our Abstract Art Paintings & Wall Art collection. Curated pieces full of color, movement and emotion for your unique style.";"";"";"";"Visitor,Customer,Guest";""
"12";"1";"Modern Art";"4";"Style";"Step into our Modern Art Collection & Paintings, where every piece is selected to spark emotion and start conversations. This curated art collection brings together bold shapes, clean lines, and powerful colors to capture the energy of today’s world. Some artworks feel calm and minimal, others feel loud and full of movement, but each one is chosen to help you express your own personality and story through art.
 
 Whether you’re just starting to buy art or adding to a growing collection, this range is made for modern taste and a fresh mindset. You’ll find statement pieces, subtle designs, and everything in between, all carefully picked so you don’t have to scroll through endless options. Our goal is simple: to make buying modern wall art online easy, inspiring, and enjoyable, while giving you access to a thoughtful, handpicked selection you can trust.";"modern";"Modern Art Collection & Paintings| Right Art Uk";"";"Discover bold modern art paintings & wall art in our curated collection. Shop unique pieces that express your style and elevate your space.";"";"";"";"Visitor,Customer,Guest";""
"13";"1";"Line Art";"4";"Style";"Discover our Line Art Collection & Paintings, a carefully curated selection for people who love clean lines, calm energy, and modern style. Inside this collection, you’ll find minimalist faces, abstract figures, flowing shapes, and expressive lines that tell a story with just a few strokes. Every piece is chosen to feel balanced, stylish, and easy to connect with, whether you love gentle, dreamy moods or bold, confident energy.
 
 This is more than just wall art for sale – it’s a curated art collection designed to help you find pieces that match your taste without endless scrolling. Each artwork is picked for its emotion, attitude, and strong visual impact, making it simple to buy art online that feels personal and meaningful. If you enjoy modern design, subtle expression, and art that feels both trendy and timeless, this line art collection is made for you.";"line";"Line Art Collection & Paintings| Right Art Uk";"";"Shop our curated Line Art Paintings & Wall Art collection – minimalist, modern, and expressive pieces to match your unique style.";"";"";"";"Visitor,Customer,Guest";""
"14";"1";"silhouette paintings";"4";"Style";"Our Silhouette Paintings & Art Collection is all about mood, contrast, and story. Inside this curated collection, you’ll find striking silhouettes of people, nature, cityscapes, animals, and abstract shapes, all set against bold skies, soft gradients, and dreamy backgrounds. Each piece plays with light and shadow to create a dramatic, almost cinematic feel that instantly draws the eye and sparks the imagination. These artworks are chosen to speak to people who love minimal style with strong emotion.
 
 Every artwork in this collection is handpicked to make buying art online feel easy, inspiring, and meaningful. You’ll find calming, romantic, mysterious, and empowering silhouettes that feel modern yet timeless. This is not just random wall art – it’s a carefully built, curated art collection designed to help you find the perfect piece that matches your vibe and personal story. If you’re looking to shop silhouette wall art that feels unique, expressive, and full of character, this is the place to explore and discover your next favorite piece.";"silhouette";"silhouette paintings & Art Collection| Right Art Uk";"";"Shop curated Silhouette Paintings & Wall Art. Emotional, modern silhouettes and bold statement pieces. Discover and buy unique wall art online.";"";"";"";"Visitor,Customer,Guest";""
