"Combination ID";"Combination Reference";"Product ID";"Product Reference";"Product Name";"Attribute Type (x,y,z...)";"Attribute Name (x,y,z...)";"Attribute Public Name (x,y,z...)";"Value:Color / Value (x,y,z...)";"Supplier Reference";"Location";"EAN13";"UPC";"ISBN";"MPN";"Cost (Wholesale) Price";"Impact on Price";"Impact on Unit Price";"Ecotax";"Quantity";"Minimal Quantity";"Low Stock Level";"Low Stock Alert (0 = No, 1 = Yes)";"Impact on Weight";"Is Default (0 = No, 1 = Yes)";"Availability Date";"Image URLs (x,y,z...)";"Image Alt Texts (x,y,z...)";"Action When out of Stock";"Warehouses (Reference:Name:Location) (x,y,z...)"
"1";"";"2";"";"square-image-test";"color,radio,color,radio";"frame,Shape,size,Type";"frame,shape,size,Type";"none,square,11x11,canvas";"";"";"";"";"";"";"0";"0";"0";"0";"0";"1";"";"0";"0";"1";"0000-00-00";"";"";"2";""
"2";"";"2";"";"square-image-test";"color,radio,color,radio";"frame,Shape,size,Type";"frame,shape,size,Type";"natural-wood,square,11x11,canvas";"";"";"";"";"";"";"0";"0";"0";"0";"0";"1";"";"0";"0";"";"0000-00-00";"";"";"2";""
"3";"";"2";"";"square-image-test";"color,radio,color,radio";"frame,Shape,size,Type";"frame,shape,size,Type";"dark walnut,square,11x11,canvas";"";"";"";"";"";"";"0";"0";"0";"0";"0";"1";"";"0";"0";"";"0000-00-00";"";"";"2";""
"4";"";"2";"";"square-image-test";"color,radio,color,radio";"frame,Shape,size,Type";"frame,shape,size,Type";"charcoal-black,square,11x11,canvas";"";"";"";"";"";"";"0";"0";"0";"0";"0";"1";"";"0";"0";"";"0000-00-00";"";"";"2";""
"5";"";"2";"";"square-image-test";"color,radio,color,radio";"frame,Shape,size,Type";"frame,shape,size,Type";"chalk-white,square,11x11,canvas";"";"";"";"";"";"";"0";"0";"0";"0";"0";"1";"";"0";"0";"";"0000-00-00";"";"";"2";""
"6";"";"2";"";"square-image-test";"color,radio,color,radio";"frame,Shape,size,Type";"frame,shape,size,Type";"pine-wood,square,11x11,canvas";"";"";"";"";"";"";"0";"0";"0";"0";"0";"1";"";"0";"0";"";"0000-00-00";"";"";"2";""
"7";"";"2";"";"square-image-test";"color,radio,color,radio";"frame,Shape,size,Type";"frame,shape,size,Type";"matte-black:#565050,square,11x11,canvas";"";"";"";"";"";"";"0";"0";"0";"0";"0";"1";"";"0";"0";"";"0000-00-00";"";"";"2";""
"8";"";"2";"";"square-image-test";"color,radio,color,radio";"frame,Shape,size,Type";"frame,shape,size,Type";"matte-white:#F5F5F2,square,11x11,canvas";"";"";"";"";"";"";"0";"0";"0";"0";"0";"1";"";"0";"0";"";"0000-00-00";"";"";"2";""
"9";"";"2";"";"square-image-test";"color,radio,color,radio";"frame,Shape,size,Type";"frame,shape,size,Type";"none,square,16x16,canvas";"";"";"";"";"";"";"0";"0";"0";"0";"0";"1";"";"0";"0";"";"0000-00-00";"";"";"2";""
"10";"";"2";"";"square-image-test";"color,radio,color,radio";"frame,Shape,size,Type";"frame,shape,size,Type";"natural-wood,square,16x16,canvas";"";"";"";"";"";"";"0";"0";"0";"0";"0";"1";"";"0";"0";"";"0000-00-00";"";"";"2";""
