"Attribute ID";"Attribute Name";"Attribute Public Name";"Attribute Group Type";"Attribute Position";"Attribute Value ID";"Attribute Value";"Attribute Value Color";"Attribute Value Position"
"1";"Shape";"shape";"radio";"";"";"horizontal";"";""
"1";"Shape";"shape";"radio";"";"";"square";"";""
"1";"Shape";"shape";"radio";"";"";"vertical";"";""
"2";"Type";"Type";"radio";"";"";"canvas";"";""
"2";"Type";"Type";"radio";"";"";"fine-art-paper";"";""
"3";"size";"size";"color";"";"";"15x10";"";""
"3";"size";"size";"color";"";"";"18x12";"";""
"3";"size";"size";"color";"";"";"24x16";"";""
"3";"size";"size";"color";"";"";"30x20";"";""
"3";"size";"size";"color";"";"";"36x24";"";""
"3";"size";"size";"color";"";"";"45x30";"";""
"3";"size";"size";"color";"";"";"11x11";"";""
"3";"size";"size";"color";"";"";"16x16";"";""
"3";"size";"size";"color";"";"";"20x20";"";""
"3";"size";"size";"color";"";"";"24x24";"";""
"3";"size";"size";"color";"";"";"30x30";"";""
"3";"size";"size";"color";"";"";"36x36";"";""
"3";"size";"size";"color";"";"";"10x15";"";""
"3";"size";"size";"color";"";"";"12x18";"";""
"3";"size";"size";"color";"";"";"16x24";"";""
"3";"size";"size";"color";"";"";"20x30";"";""
"3";"size";"size";"color";"";"";"24x36";"";""
"3";"size";"size";"color";"";"";"30x45";"";""
"4";"frame";"frame";"color";"";"";"none";"#62ff43";""
"4";"frame";"frame";"color";"";"";"natural-wood";"#ffd083";""
"4";"frame";"frame";"color";"";"";"dark-walnut";"#ce6600";""
"4";"frame";"frame";"color";"";"";"charcol-black";"#3b1200";""
"4";"frame";"frame";"color";"";"";"chalk-white";"#e3fffe";""
"4";"frame";"frame";"color";"";"";"pine-wood";"#a3afff";""
"4";"frame";"frame";"color";"";"";"matte-black";"#a3afff";""
"4";"frame";"frame";"color";"";"";"matte-white";"#a3afff";""
"";"+";"";"";"";"";"";"";""
